img num: 0 rightLeft, upDown, forwardBack, yaw:
[1.5901, -29.1985, 221.526, -1]
img num: 1 rightLeft, upDown, forwardBack, yaw:
[8.42923, 4.4188, 216.547, -2]
img num: 2 rightLeft, upDown, forwardBack, yaw:
[1.42923, 44.4188, 216.547, -2]
img num: 3 rightLeft, upDown, forwardBack, yaw:
[-1.9686, 31.3475, 217.756, -8]
img num: 4 rightLeft, upDown, forwardBack, yaw:
[23.1959, 13.7701, 218.235, 1]
img num: 5 rightLeft, upDown, forwardBack, yaw:
[-29.9285, -9.26478, 220.248, -12]
img num: 6 rightLeft, upDown, forwardBack, yaw:
[-21.5786, -16.7173, 223.795, -10]
img num: 7 rightLeft, upDown, forwardBack, yaw:
[-21.5569, -16.5438, 223.847, -10]
img num: 8 rightLeft, upDown, forwardBack, yaw:
[-24.951, -35.2067, 224.458, -10]
img num: 9 rightLeft, upDown, forwardBack, yaw:
[13.2477, -30.7048, 227.19, -1]
img num: 10 rightLeft, upDown, forwardBack, yaw:
[24.6405, 41.268, 223.014, 1]
img num: 11 rightLeft, upDown, forwardBack, yaw:
[-26.9841, -34.3271, 221.596, -10]
img num: 12 rightLeft, upDown, forwardBack, yaw:
[20.5774, 18.9053, 223.87, 1]
img num: 13 rightLeft, upDown, forwardBack, yaw:
[8.22728, 47.4138, 215.46, 0]
img num: 14 rightLeft, upDown, forwardBack, yaw:
[21.461, 18.9438, 217.675, 2]
img num: 15 rightLeft, upDown, forwardBack, yaw:
[-30.6823, -18.1894, 210.433, -11]
img num: 16 rightLeft, upDown, forwardBack, yaw:
[-4.53884, 52.1716, 203.487, -4]
img num: 17 rightLeft, upDown, forwardBack, yaw:
[47.5308, 4.6413, 199.027, 9]
img num: 18 rightLeft, upDown, forwardBack, yaw:
[-42.0456, -14.7416, 194.277, -16]
img num: 19 rightLeft, upDown, forwardBack, yaw:
[-9.50118, 31.9296, 195.424, -7]
img num: 20 rightLeft, upDown, forwardBack, yaw:
[-17.2521, -28.7976, 191.215, -9]
img num: 21 rightLeft, upDown, forwardBack, yaw:
[-24.2709, -49.2813, 174.829, -11]
img num: 22 rightLeft, upDown, forwardBack, yaw:
[-15.3391, -29.5131, 179.154, -7]
img num: 23 rightLeft, upDown, forwardBack, yaw:
[-16.2076, -15.8709, 177.022, -7]
img num: 24 rightLeft, upDown, forwardBack, yaw:
[36.8493, 20.041, 168.047, 10]
img num: 25 rightLeft, upDown, forwardBack, yaw:
[-24.9952, -19.6808, 167.521, -8]
img num: 26 rightLeft, upDown, forwardBack, yaw:
[-25.947, -30.2549, 159.491, -8]
img num: 27 rightLeft, upDown, forwardBack, yaw:
[40.6576, 17.2715, 153.193, 15]
img num: 28 rightLeft, upDown, forwardBack, yaw:
[-25.5887, -20.2496, 153.865, -7]
img num: 29 rightLeft, upDown, forwardBack, yaw:
[22.9214, 12.6433, 149.481, 10]
img num: 30 rightLeft, upDown, forwardBack, yaw:
[-31.9408, -15.94, 143.114, -10]
img num: 31 rightLeft, upDown, forwardBack, yaw:
[28.5393, 18.9309, 138.059, 13]
img num: 32 rightLeft, upDown, forwardBack, yaw:
[20.5758, 19.8544, 135.197, 10]
img num: 33 rightLeft, upDown, forwardBack, yaw:
[-20.4732, -19.6261, 131.335, -5]
img num: 34 rightLeft, upDown, forwardBack, yaw:
[35.791, 22.4108, 119.823, 19]
img num: 35 rightLeft, upDown, forwardBack, yaw:
[31.0809, 19.5372, 118.47, 18]
img num: 36 rightLeft, upDown, forwardBack, yaw:
[-25.3594, -22.4545, 117.06, -6]
img num: 37 rightLeft, upDown, forwardBack, yaw:
[-30.9707, -17.53, 112.092, -8]
img num: 38 rightLeft, upDown, forwardBack, yaw:
[-30.962, -23.4044, 109.149, -7]
img num: 39 rightLeft, upDown, forwardBack, yaw:
[-32.8265, -25.273, 101.915, -7]
img num: 40 rightLeft, upDown, forwardBack, yaw:
[-37.951, -21.012, 97.9087, -8]
img num: 41 rightLeft, upDown, forwardBack, yaw:
[-41.0433, -21.698, 93.6365, -9]
img num: 42 rightLeft, upDown, forwardBack, yaw:
[-38.6506, -21.515, 89.9438, -8]
img num: 43 rightLeft, upDown, forwardBack, yaw:
[-38.2212, -19.656, 87.1055, -8]
img num: 44 rightLeft, upDown, forwardBack, yaw:
[-37.8761, -18.207, 84.0755, -8]
img num: 45 rightLeft, upDown, forwardBack, yaw:
[-35.8672, -17.279, 81.4825, -8]
img num: 46 rightLeft, upDown, forwardBack, yaw:
[-34.3599, -16.9735, 78.7945, -9]
img num: 47 rightLeft, upDown, forwardBack, yaw:
[-30.2895, -16.8664, 75.9632, -9]
img num: 48 rightLeft, upDown, forwardBack, yaw:
[-24.1625, -16.2836, 76.7304, -6]
img num: 49 rightLeft, upDown, forwardBack, yaw:
[-20.3868, -16.396, 75.8046, -6]
img num: 50 rightLeft, upDown, forwardBack, yaw:
[-20.2114, -14.0184, 74.1746, -8]
img num: 51 rightLeft, upDown, forwardBack, yaw:
[-14.5181, -15.3797, 73.603, -6]
img num: 52 rightLeft, upDown, forwardBack, yaw:
[-13.503, -14.6961, 73.3872, -8]
img num: 53 rightLeft, upDown, forwardBack, yaw:
[-9.50401, -13.471, 74.2483, -7]
